          distance              timeN                 Tn           C+(158m)        C+(2324.7A)        C+(2323.5A)        C+(2328.1A)        C+(2326.9A)        C+(2325.4A)         Si+(34.8m)         H(1215.7A)         H(1025.7A)          C(609.8m)          C(370.4m)           C(9850A)           C(9824A)         Si(129.7m)          Si(68.5m)           O(63.2m)          O(145.3m)           O(6300A)           O(6363A)          S+(6731A)          S+(6716A)         N+(205.3m)         N+(121.8m)          N+(6527A)          N+(6548A)          N+(6583A)           N(5200A)           N(5197A)           S(25.2m) 
  2.521875057E-007   2.283290598E-021   4.575000000E+001   2.957319695E-030   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   7.819158443E-033   0.000000000E+000   0.000000000E+000   6.687741195E-031   2.191670748E-030   0.000000000E+000   0.000000000E+000   1.128145474E-031   4.359659996E-033   8.389774325E-031   2.121013712E-032   3.644292417E-045   1.166801726E-045   2.681552791E-232   1.479006413E-232   2.050582014E-038   1.609157264E-039   7.780850356E-056   1.464237682E-052   4.311413411E-052   1.687836093E-293   8.550454032E-294   3.179552243E-036 
  5.043750114E-007   4.566581195E-021   4.575000000E+001   8.871959086E-030   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.345747533E-032   0.000000000E+000   0.000000000E+000   2.006322358E-030   6.575012245E-030   0.000000000E+000   0.000000000E+000   3.384436423E-031   1.307897999E-032   2.516932297E-030   6.363041135E-032   1.093287725E-044   3.500405178E-045   8.044658372E-232   4.437019238E-232   6.151746041E-038   4.827471792E-039   2.334255107E-055   4.392713047E-052   1.293424023E-051   5.063508278E-293   2.565136210E-293   9.538656729E-036 
  3.026250068E-006   2.739948717E-020   4.575000000E+001   6.801835299E-029   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.798406442E-031   0.000000000E+000   0.000000000E+000   1.538180475E-029   5.040842721E-029   0.000000000E+000   0.000000000E+000   2.594734591E-030   1.002721799E-031   1.929648095E-029   4.878331537E-031   8.381872558E-044   2.683643969E-044   6.167571418E-231   3.401714749E-231   4.716338631E-037   3.701061707E-038   1.789595582E-054   3.367746669E-051   9.916250845E-051   3.882023013E-292   1.966604427E-292   7.312970159E-035 
  2.824500064E-005   2.557285469E-019   4.575000000E+001   6.594822921E-028   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.743672333E-030   0.000000000E+000   0.000000000E+000   1.491366286E-028   4.887425769E-028   0.000000000E+000   0.000000000E+000   2.515764408E-029   9.722041791E-031   1.870919674E-028   4.729860577E-030   8.126772089E-043   2.601967849E-043   5.979862723E-230   3.298184300E-230   4.572797890E-036   3.588420699E-037   1.735129629E-053   3.265250032E-050   9.614451906E-050   3.763874486E-291   1.906751249E-291   7.090401502E-034 
  1.178677240E-004   1.067167325E-018   4.575000000E+001   2.761434521E-027   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   7.301237699E-030   0.000000000E+000   0.000000000E+000   6.244762591E-028   2.046500171E-027   0.000000000E+000   0.000000000E+000   1.053420049E-028   4.070887443E-030   7.834057468E-028   1.980523273E-029   3.402903954E-042   1.089515811E-042   2.503933700E-229   1.381040870E-229   1.914756788E-035   1.502570867E-036   7.265467041E-053   1.367250382E-049   4.025836586E-049   1.576038214E-290   7.984094168E-291   2.968946962E-033 
  3.170192582E-004   2.870273409E-018   4.575000000E+001   7.432203225E-027   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.965075832E-029   0.000000000E+000   0.000000000E+000   1.680733123E-027   5.508008630E-027   0.000000000E+000   0.000000000E+000   2.835204610E-028   1.095650198E-029   2.108480456E-027   5.330436535E-029   9.158672259E-042   2.932353768E-042   6.739158208E-229   3.716972585E-229   5.153430750E-035   4.044061867E-036   1.955448415E-052   3.679856474E-049   1.083525082E-048   4.241793970E-290   2.148861759E-290   7.990708098E-033 
  6.971034013E-004   6.311532514E-018   4.575000000E+001   1.634644598E-026   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   4.322003173E-029   0.000000000E+000   0.000000000E+000   3.696617593E-027   1.211435731E-026   0.000000000E+000   0.000000000E+000   6.235771222E-028   2.409781625E-029   4.637408427E-027   1.172380386E-028   2.014365549E-041   6.449441840E-042   1.482215734E-228   8.175138610E-229   1.133449595E-034   8.894541338E-036   4.300828558E-052   8.093505145E-049   2.383113551E-048   9.329434875E-290   4.726223381E-290   1.757482597E-032 
  1.410173840E-003   1.276762963E-017   4.575000000E+001   3.307032964E-026   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   8.743800935E-029   0.000000000E+000   0.000000000E+000   7.478589690E-027   2.450843384E-026   0.000000000E+000   0.000000000E+000   1.261552573E-027   4.875204848E-029   9.381894116E-027   2.371830909E-028   4.075242582E-041   1.304780060E-041   2.998655670E-228   1.653904029E-228   2.293070419E-034   1.799445668E-035   8.700962785E-052   1.637388846E-048   4.821252938E-048   1.887428540E-289   9.561574754E-290   3.555545278E-032 
  3.598205958E-003   3.257794159E-017   4.575000000E+001   8.438699148E-026   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   2.231193529E-028   0.000000000E+000   0.000000000E+000   1.908344100E-026   6.253923140E-026   0.000000000E+000   0.000000000E+000   3.219158304E-027   1.244027122E-028   2.394018528E-026   6.052303587E-028   1.039897288E-040   3.329463752E-041   7.651799460E-228   4.220338496E-228   5.851327037E-034   4.591723395E-035   2.220262333E-051   4.178195987E-048   1.230259979E-047   4.816233097E-289   2.439868414E-289   9.072838776E-032 
  5.786238075E-003   5.238825356E-017   4.575000000E+001   1.357036533E-025   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   3.588006965E-028   0.000000000E+000   0.000000000E+000   3.068829231E-026   1.005700290E-025   0.000000000E+000   0.000000000E+000   5.176764034E-027   2.000533759E-028   3.849847645E-026   9.732776266E-028   1.672270318E-040   5.354147445E-041   1.230494325E-227   6.786772962E-228   9.409583655E-034   7.384001122E-035   3.570428388E-051   6.719003128E-048   1.978394665E-047   7.745037654E-289   3.923579353E-289   1.459013227E-031 
