#     Vn (<jump)        Vi (<jump)        Vn (>jump)        Vi (>jump)  
    4.773030E+06      1.105178E+06      1.310078E+06      1.105178E+06
    4.770607E+06      1.104188E+06      1.309816E+06      1.104188E+06
    4.768815E+06      1.103457E+06      1.309625E+06      1.103457E+06
    4.767018E+06      1.102727E+06      1.309434E+06      1.102727E+06
    4.765216E+06      1.101996E+06      1.309244E+06      1.101996E+06
    4.763410E+06      1.101266E+06      1.309055E+06      1.101266E+06
    4.761600E+06      1.100536E+06      1.308867E+06      1.100536E+06
    4.760275E+06      1.100003E+06      1.308730E+06      1.100003E+06
    4.758948E+06      1.099471E+06      1.308594E+06      1.099471E+06
    4.757618E+06      1.098938E+06      1.308458E+06      1.098938E+06
    4.756286E+06      1.098405E+06      1.308323E+06      1.098405E+06
    4.754951E+06      1.097873E+06      1.308189E+06      1.097873E+06
    4.754025E+06      1.097504E+06      1.308096E+06      1.097504E+06
    4.753379E+06      1.097247E+06      1.308031E+06      1.097247E+06
    4.752907E+06      1.097059E+06      1.307984E+06      1.097059E+06
    4.752434E+06      1.096871E+06      1.307937E+06      1.096871E+06
    4.751961E+06      1.096683E+06      1.307890E+06      1.096683E+06
    4.751487E+06      1.096495E+06      1.307844E+06      1.096495E+06
    4.751013E+06      1.096307E+06      1.307797E+06      1.096307E+06
    4.750539E+06      1.096120E+06      1.307750E+06      1.096120E+06
    4.750064E+06      1.095932E+06      1.307703E+06      1.095932E+06
    4.749323E+06      1.095638E+06      1.307631E+06      1.095638E+06
    4.748580E+06      1.095345E+06      1.307558E+06      1.095345E+06
    4.747837E+06      1.095052E+06      1.307486E+06      1.095052E+06
    4.746708E+06      1.094607E+06      1.307376E+06      1.094607E+06
    4.744837E+06      1.093871E+06      1.307196E+06      1.093871E+06
    4.742960E+06      1.093135E+06      1.307017E+06      1.093135E+06
    4.741077E+06      1.092400E+06      1.306839E+06      1.092400E+06
    4.738003E+06      1.091202E+06      1.306553E+06      1.091202E+06
    4.734912E+06      1.090004E+06      1.306269E+06      1.090004E+06
    4.731805E+06      1.088805E+06      1.305989E+06      1.088805E+06
    4.728682E+06      1.087606E+06      1.305712E+06      1.087606E+06
    4.725541E+06      1.086406E+06      1.305439E+06      1.086406E+06
    4.722383E+06      1.085205E+06      1.305169E+06      1.085205E+06
