    V   J   Energy(K)   log(N/g)
    0     0   0.000000E+000   5.360550E+001 
    0     1   1.705020E+002   5.148793E+001 
    0     2   5.098500E+002   4.299325E+001 
    0     3   1.015153E+003   4.193479E+001 
    0     4   1.681678E+003   4.129046E+001 
    0     5   2.503870E+003   4.063392E+001 
    0     6   3.474434E+003   3.988216E+001 
    0     7   4.586377E+003   3.902787E+001 
    0     8   5.829758E+003   3.810131E+001 
    1     0   5.987124E+003   3.610579E+001 
    1     1   6.149208E+003   3.591499E+001 
    1     2   6.471607E+003   3.588087E+001 
    1     3   6.951587E+003   3.559268E+001 
    0     9   7.196995E+003   3.700194E+001 
    1     4   7.584601E+003   3.542522E+001 
    1     5   8.365297E+003   3.506947E+001 
    0    10   8.677322E+003   3.597114E+001 
    1     6   9.286624E+003   3.481596E+001 
    0    11   1.026179E+004   3.460771E+001 
    1     7   1.034152E+004   3.438043E+001 
    1     8   1.152183E+004   3.405616E+001 
    2     0   1.163573E+004   3.392174E+001 
    2     1   1.178951E+004   3.372321E+001 
    0    12   1.194031E+004   3.368780E+001 
    2     2   1.209524E+004   3.373934E+001 
    2     3   1.255050E+004   3.344263E+001 
    1     9   1.281752E+004   3.349477E+001 
    2     4   1.315072E+004   3.336312E+001 
    0    13   1.370318E+004   3.223908E+001 
    2     5   1.389070E+004   3.301161E+001 
    1    10   1.422111E+004   3.310278E+001 
    2     6   1.476414E+004   3.281827E+001 
    0    14   1.554025E+004   3.167079E+001 
    1    11   1.572229E+004   3.237526E+001 
    2     7   1.576338E+004   3.240771E+001 
    2     8   1.688055E+004   3.215588E+001 
    3     0   1.695284E+004   3.231910E+001 
    3     1   1.709837E+004   3.216449E+001 
    1    12   1.731122E+004   3.193889E+001 
    3     2   1.738779E+004   3.217255E+001 
    0    15   1.744391E+004   3.031287E+001 
    3     3   1.781869E+004   3.192602E+001 
    2     9   1.810741E+004   3.168711E+001 
    3     4   1.838652E+004   3.184669E+001 
    1    13   1.897972E+004   3.109092E+001 
    3     5   1.908649E+004   3.154478E+001 
    0    16   1.940345E+004   3.001349E+001 
    2    10   1.943491E+004   3.136759E+001 
    3     6   1.991225E+004   3.134156E+001 
    1    14   2.071785E+004   3.055852E+001 
    2    11   2.085383E+004   3.079937E+001 
    3     7   2.085653E+004   3.096064E+001 
    0    17   2.141168E+004   2.878426E+001 
    3     8   2.191171E+004   3.066317E+001 
    4     0   2.194278E+004   3.086840E+001 
    4     1   2.208004E+004   3.080117E+001 
    4     2   2.235326E+004   3.072058E+001 
    2    12   2.235535E+004   3.042061E+001 
    1    15   2.251712E+004   2.964639E+001 
    4     3   2.275983E+004   3.054787E+001 
    3     9   2.306999E+004   3.018537E+001 
    4     4   2.329564E+004   3.037749E+001 
    0    18   2.345990E+004   2.855518E+001 
    2    13   2.393080E+004   2.976585E+001 
    4     5   2.395581E+004   3.015932E+001 
    3    10   2.432262E+004   2.966401E+001 
    1    16   2.436840E+004   2.906689E+001 
    4     6   2.473404E+004   2.975078E+001 
    0    19   2.553963E+004   2.761882E+001 
    2    14   2.557053E+004   2.920722E+001 
    4     7   2.562381E+004   2.941926E+001 
    3    11   2.565988E+004   2.917456E+001 
    1    17   2.626369E+004   2.819288E+001 
    5     0   2.660677E+004   2.915778E+001 
    4     8   2.661704E+004   2.898951E+001 
    5     1   2.673596E+004   2.912095E+001 
    5     2   2.699289E+004   2.899041E+001 
    3    12   2.707418E+004   2.874523E+001 
    2    15   2.726625E+004   2.843259E+001 
    5     3   2.737523E+004   2.884690E+001 
    0    20   2.764451E+004   2.735063E+001 
    4     9   2.770677E+004   2.859813E+001 
    5     4   2.787879E+004   2.860968E+001 
    1    18   2.819486E+004   2.771773E+001 
    5     5   2.849899E+004   2.840815E+001 
    3    13   2.855661E+004   2.821357E+001 
    4    10   2.888376E+004   2.776949E+001 
    2    16   2.900940E+004   2.783296E+001 
    5     6   2.922954E+004   2.770213E+001 
    0    21   2.976661E+004   2.669897E+001 
    5     7   3.006431E+004   2.739534E+001 
    3    14   3.009785E+004   2.771552E+001 
    4    11   3.013990E+004   2.735456E+001 
    1    19   3.015462E+004   2.706102E+001 
    2    17   3.079235E+004   2.697354E+001 
    6     0   3.094320E+004   2.694349E+001 
    5     8   3.099552E+004   2.688350E+001 
    6     1   3.106412E+004   2.686436E+001 
    6     2   3.130464E+004   2.673022E+001 
    4    12   3.146651E+004   2.701959E+001 
    6     3   3.166233E+004   2.658385E+001 
    3    15   3.169026E+004   2.716894E+001 
    0    22   3.190031E+004   2.617904E+001 
    5     9   3.201575E+004   2.652779E+001 
    6     4   3.213322E+004   2.639315E+001 
    1    20   3.213454E+004   2.656766E+001 
    2    18   3.260639E+004   2.654908E+001 
    6     5   3.271272E+004   2.675790E+001 
    4    13   3.285516E+004   2.664241E+001 
    5    10   3.311646E+004   2.629851E+001 
    3    16   3.332489E+004   2.680647E+001 
    6     6   3.339496E+004   2.583376E+001 
    0    23   3.403759E+004   2.584546E+001 
    1    21   3.412953E+004   2.620368E+001 
    6     7   3.417362E+004   2.575459E+001 
    5    11   3.428978E+004   2.612447E+001 
    4    14   3.429681E+004   2.650127E+001 
    2    19   3.444505E+004   2.554146E+001 
    7     0   3.494622E+004   2.664869E+001 
    3    17   3.499413E+004   2.632131E+001 
    6     8   3.504117E+004   2.564937E+001 
    7     1   3.505878E+004   2.550912E+001 
    7     2   3.528236E+004   2.545715E+001 
    5    12   3.552731E+004   2.600822E+001 
    7     3   3.561473E+004   2.533901E+001 
    4    15   3.578419E+004   2.627369E+001 
    6     9   3.599047E+004   2.560709E+001 
    7     4   3.605189E+004   2.531593E+001 
    1    22   3.613139E+004   2.538717E+001 
    0    24   3.617459E+004   2.484173E+001 
    2    20   3.629979E+004   2.558322E+001 
    7     5   3.658964E+004   2.522979E+001 
    3    18   3.668984E+004   2.578464E+001 
    5    13   3.682003E+004   2.575851E+001 
    6    10   3.701302E+004   2.546818E+001 
    7     6   3.722192E+004   2.510430E+001 
    4    16   3.730808E+004   2.576346E+001 
    7     7   3.794263E+004   2.508578E+001 
    6    11   3.810113E+004   2.541258E+001 
    1    23   3.813447E+004   2.507746E+001 
    5    14   3.815979E+004   2.567398E+001 
    2    21   3.816475E+004   2.531002E+001 
    0    25   3.830484E+004   2.481697E+001 
    3    19   3.840503E+004   2.452365E+001 
    8     0   3.860553E+004   2.490246E+001 
    8     1   3.870915E+004   2.495721E+001 
    7     8   3.874438E+004   2.434581E+001 
    4    17   3.886111E+004   2.557691E+001 
    8     2   3.891514E+004   2.487861E+001 
    8     3   3.922109E+004   2.464919E+001 
