          distance              timeN                 Tn                 Ti                 Te         Total_heat       heat_chemist       heat_diff_in       heat_diff_an       heat_diff_en       heat_diff_gn       heat_inel_en       heat_ther_in       heat_ther_gn       heat_phot_el       heat_ioni_cr    heat_photo_chem         heat_h2int          heat_visc         heat_compr 
  1.083491048E-040   6.866904215E-055   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.637148582E-093  -7.950566516E-027 
  2.166982096E-040   1.373380843E-054   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.637132759E-093  -7.950566516E-027 
  1.300189258E-039   8.240285058E-054   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.636974528E-093  -7.950566516E-027 
  1.213509974E-038   7.690932721E-053   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.635392320E-093  -7.950566516E-027 
  4.268815862E-038   2.705472250E-052   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.630932417E-093  -7.950566516E-027 
  1.055881349E-037   6.691920618E-052   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.621758854E-093  -7.950566516E-027 
  2.204323864E-037   1.397047152E-051   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.605037302E-093  -7.950566516E-027 
  4.128344658E-037   2.616444998E-051   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.577103081E-093  -7.950566516E-027 
  6.052365452E-037   3.835842844E-051   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.549269525E-093  -7.950566516E-027 
  7.976386245E-037   5.055240689E-051   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.521536922E-093  -7.950566516E-027 
  1.434905977E-036   9.094087042E-051   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.430397685E-093  -7.950566516E-027 
  2.072173329E-036   1.313293340E-050   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.340383483E-093  -7.950566516E-027 
  2.709440682E-036   1.717177975E-050   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.251514844E-093  -7.950566516E-027 
  3.346708034E-036   2.121062610E-050   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.163804008E-093  -7.950566516E-027 
  3.983975387E-036   2.524947245E-050   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   2.077263760E-093  -7.950566516E-027 
  4.621242739E-036   2.928831881E-050   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   1.991908968E-093  -7.950566516E-027 
  5.807946160E-036   3.680935808E-050   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   1.836172892E-093  -7.950566516E-027 
  6.994649581E-036   4.433039735E-050   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   1.684715438E-093  -7.950566516E-027 
  8.181353002E-036   5.185143663E-050   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   1.537671362E-093  -7.950566516E-027 
  9.368056423E-036   5.937247590E-050   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   1.395177868E-093  -7.950566516E-027 
  1.055475984E-035   6.689351517E-050   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   1.257380640E-093  -7.950566516E-027 
  1.174146327E-035   7.441455444E-050   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   1.124442538E-093  -7.950566516E-027 
  1.256178103E-035   7.961353002E-050   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   1.035488796E-093  -7.950566516E-027 
  1.338209879E-035   8.481250560E-050   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   9.490137655E-094  -7.950566516E-027 
  1.420241655E-035   9.001148118E-050   4.510000000E+001   4.510000000E+001   4.510000000E+001   1.637463627E-021   1.268477336E-021   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000  -0.000000000E+000   1.564495947E-026  -4.491936103E-024   2.829505080E-022   8.792865619E-023   0.000000000E+000   2.607013287E-024   8.650891493E-094  -7.950566516E-027 
